,2m Air Temperature,Relative Humidity,GHI,DNI,DHI,IR(h),10m Wind speed,10m wind direction,Air pressure,Month,Day,Declination,Hour angle,Rb_front,Rb_rear,DOY,Solar Zenith angle,G_Front,Total_G
2030-05-01 09:45:00,14.612565638574946,52.711884652089886,618.7909375496363,409.6673148720363,314.8949206340401,333.14616375453363,2.769073511260836,339.0688114588429,100354.03527338072,5.0,1.0,14.90088745587464,-33.74999842639886,1.0,0.0,121,38.0509643993077,,
2030-05-01 10:00:00,14.8,52.1,642.0,399.98,333.0,336.4,2.69,337.0,100362.0,5.0,1.0,14.90088745587464,-30.0,1.0,0.0,121,35.56101523679654,,
2030-05-01 10:15:00,14.960343320384775,51.636067008727096,667.0581852818468,400.1733908402497,346.2668349127201,336.7789824583422,2.6269462934222356,334.77016247336707,100365.87550239032,5.0,1.0,14.90088745587464,-26.250000745390025,1.0,0.0,121,33.202898782821975,,
2030-05-01 10:30:00,15.093595599729266,51.32008567827115,693.9654933951765,410.2474873927855,354.6954253722005,334.28311112956044,2.579912391527543,332.3792988789439,100365.66178055167,5.0,1.0,14.90088745587464,-22.50000066256888,1.0,0.0,121,31.009359826469602,,
2030-05-01 10:45:00,15.217550079209126,51.06906150867963,720.140054810918,424.0153402489285,360.5263031455806,330.1456842359984,2.5529222938690785,329.7987858450488,100363.6171684372,5.0,1.0,14.90088745587464,-18.75000024846335,1.0,0.0,121,29.020149727089766,,
2030-05-01 11:00:00,15.35,50.8,743.0,435.29,366.0,325.6,2.55,327.0,100362.0,5.0,1.0,14.90088745587464,-15.0,1.0,0.0,121,27.28212826670033,,
2030-05-01 11:15:00,15.490945362101893,50.51290115223223,762.5453289624224,444.0714666459999,371.1165159354588,320.6460584215653,2.571145509920306,323.9829413437974,100360.81027524013,5.0,1.0,14.90088745587464,-11.249999917178883,1.0,0.0,121,25.84782630397917,,
2030-05-01 11:30:00,15.6403861655148,50.207764965376356,778.7760416981856,450.3597401869283,375.87585095195675,315.28385950069423,2.616358823629998,320.74760987644106,100360.04799415756,5.0,1.0,14.90088745587464,-7.5,1.0,0.0,121,24.771509601940185,,
2030-05-01 11:45:00,15.797133886170307,49.8987462958323,785.8687335848558,445.5856436343925,382.6972604924764,310.97973082947607,2.6808927255246906,317.63847347086414,100357.7617159962,5.0,1.0,14.90088745587464,-3.750000082821117,1.0,0.0,121,24.10224112280168,,
2030-05-01 12:00:00,15.96,49.6,778.0,421.18,394.0,309.2,2.76,315.0,100352.0,5.0,1.0,14.90088745587464,0.0,1.0,0.0,121,23.874912544125365,,
2030-05-01 12:15:00,16.128984507003878,49.31152607787945,755.169840943618,377.1428092837508,409.7840694745276,309.9446670122662,2.853680647055926,312.83218946384864,100342.76284616897,5.0,1.0,14.90088745587464,3.750000248463323,1.0,0.0,121,24.102241142788213,,
2030-05-01 12:30:00,16.304087407181946,49.033324529470676,717.3782564157098,313.47407148564486,430.04946891605914,313.21373186627454,2.961934666692468,311.13504186240993,100330.0502545031,5.0,1.0,14.90088745587464,7.50000066256888,1.0,0.0,121,24.771509757440626,,
2030-05-01 12:45:00,16.459646603769038,48.75096071632656,680.1475436799467,254.91079794471648,447.29013389956117,317.02593078714557,3.0892213529827766,309.62037332976627,100316.06253558569,5.0,1.0,14.90088745587464,11.250000745389997,1.0,0.0,121,25.847826583185586,,
2030-05-01 13:00:00,16.57,48.45,659.0,226.19,454.0,319.4,3.24,308.0,100303.0,5.0,1.0,14.90088745587464,15.0,1.0,0.0,121,27.28212826670033,,
2030-05-01 13:15:00,16.635147595874827,48.13044238049102,653.9356253758697,227.31167765149536,450.1790672173758,320.3359395048378,3.4142706077441396,306.2739218731111,100290.8626477461,5.0,1.0,14.90088745587464,18.74999842639886,1.0,0.0,121,29.02014881752439,,
2030-05-01 13:30:00,16.655089391393528,47.79228785779959,664.9544198075556,258.2758308992026,435.8273355516885,319.8337493016589,3.6120331762151943,304.44213894909944,100279.65047882393,5.0,1.0,14.90088745587464,22.499996024586608,1.0,0.0,121,31.00935723092212,,
